timestamp,fridge_value,stove_value,motion_value
2025-05-01 00:00:00,4,0,5
2025-05-01 01:00:00,1,0,2
2025-05-01 02:00:00,3,3,4
2025-05-01 03:00:00,3,1,1
2025-05-01 04:00:00,1,1,1
2025-05-01 05:00:00,2,1,4
2025-05-01 06:00:00,8,2,0
2025-05-01 07:00:00,1,1,1
2025-05-01 08:00:00,2,0,4
2025-05-01 09:00:00,2,1,2
2025-05-01 10:00:00,1,1,8
2025-05-01 11:00:00,0,2,1
2025-05-01 12:00:00,4,1,3
2025-05-01 13:00:00,2,1,5
2025-05-01 14:00:00,1,2,0
2025-05-01 15:00:00,3,1,3
2025-05-01 16:00:00,2,1,3
2025-05-01 17:00:00,6,0,1
2025-05-01 18:00:00,1,0,2
2025-05-01 19:00:00,10,2,0
2025-05-01 20:00:00,2,1,2
2025-05-01 21:00:00,2,1,0
2025-05-01 22:00:00,1,0,3
2025-05-01 23:00:00,10,3,5
2025-05-02 00:00:00,4,1,3
2025-05-02 01:00:00,1,2,12
2025-05-02 02:00:00,3,2,4
2025-05-02 03:00:00,1,2,4
2025-05-02 04:00:00,4,2,3
2025-05-02 05:00:00,4,2,6
2025-05-02 06:00:00,2,1,3
2025-05-02 07:00:00,0,2,7
2025-05-02 08:00:00,0,1,5
2025-05-02 09:00:00,2,1,2
2025-05-02 10:00:00,2,1,1
2025-05-02 11:00:00,2,1,2
2025-05-02 12:00:00,1,0,0
2025-05-02 13:00:00,5,0,4
2025-05-02 14:00:00,4,0,1
2025-05-02 15:00:00,0,1,4
2025-05-02 16:00:00,1,1,12
2025-05-02 17:00:00,2,2,3
2025-05-02 18:00:00,2,2,6
2025-05-02 19:00:00,0,1,5
2025-05-02 20:00:00,2,1,1
2025-05-02 21:00:00,2,4,2
2025-05-02 22:00:00,3,0,3
2025-05-02 23:00:00,1,0,3
2025-05-03 00:00:00,0,2,3
2025-05-03 01:00:00,2,2,1
2025-05-03 02:00:00,2,3,4
2025-05-03 03:00:00,1,1,6
2025-05-03 04:00:00,3,0,6
2025-05-03 05:00:00,2,1,0
2025-05-03 06:00:00,3,0,3
2025-05-03 07:00:00,2,0,4
2025-05-03 08:00:00,0,1,13
2025-05-03 09:00:00,2,0,1
2025-05-03 10:00:00,1,2,4
2025-05-03 11:00:00,1,2,2
2025-05-03 12:00:00,3,3,2
2025-05-03 13:00:00,1,1,7
2025-05-03 14:00:00,4,0,2
2025-05-03 15:00:00,2,5,6
2025-05-03 16:00:00,0,1,4
2025-05-03 17:00:00,4,1,4
2025-05-03 18:00:00,5,1,2
2025-05-03 19:00:00,2,1,1
2025-05-03 20:00:00,0,1,4
2025-05-03 21:00:00,0,1,4
2025-05-03 22:00:00,1,1,3
2025-05-03 23:00:00,1,2,3
2025-05-04 00:00:00,2,1,2
2025-05-04 01:00:00,2,0,4
2025-05-04 02:00:00,5,1,3
2025-05-04 03:00:00,8,2,6
2025-05-04 04:00:00,2,0,2
2025-05-04 05:00:00,4,0,1
2025-05-04 06:00:00,1,2,1
2025-05-04 07:00:00,8,2,1
2025-05-04 08:00:00,1,2,5
2025-05-04 09:00:00,4,0,3
2025-05-04 10:00:00,5,0,3
2025-05-04 11:00:00,2,0,1
2025-05-04 12:00:00,1,2,3
2025-05-04 13:00:00,3,0,2
2025-05-04 14:00:00,2,0,5
2025-05-04 15:00:00,5,0,4
2025-05-04 16:00:00,5,1,7
